feature,lld_base,lld_category,lld_description,functional,functional_description,processing,processing_description
audspec_lengthL1norm_sma_de_lpgain,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,lpgain,Output of LP gain,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_lpc0,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,lpc0,Output of LP coefficient 0,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_lpc1,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,lpc1,Output of LP coefficient 1,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_lpc2,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,lpc2,Output of LP coefficient 2,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_lpc3,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,lpc3,Output of LP coefficient 3,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_lpc4,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,lpc4,Output of LP coefficient 4,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_amean,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,amean,Output of arithmetic mean,['sma'],['Smoothing']
audspec_lengthL1norm_sma_flatness,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,flatness,Output of contour flatness (ratio of geometric mean and absolute value arithmetic mean(absmean))),['sma'],['Smoothing']
audspec_lengthL1norm_sma_rqmean,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,rqmean,Output of square root of quadratic mean,['sma'],['Smoothing']
audspec_lengthL1norm_sma_meanPeakDist,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,meanPeakDist,"Output of mean distance between peaks (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
audspec_lengthL1norm_sma_peakDistStddev,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,peakDistStddev,Output of standard deviation of inter peak distances,['sma'],['Smoothing']
audspec_lengthL1norm_sma_peakRangeAbs,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,peakRangeAbs,Output of peak range (max peak value - min peak value),['sma'],['Smoothing']
audspec_lengthL1norm_sma_peakRangeRel,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,peakRangeRel,Output of peak range (max peak value - min peak value) / arithmetic mean,['sma'],['Smoothing']
audspec_lengthL1norm_sma_peakMeanAbs,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,peakMeanAbs,Output of arithmetic mean of peaks (local maxima),['sma'],['Smoothing']
audspec_lengthL1norm_sma_peakMeanMeanDist,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,peakMeanMeanDist,Output of arithmetic mean of peaks - arithmetic mean of all values (mean of peaks to signal mean distance),['sma'],['Smoothing']
audspec_lengthL1norm_sma_peakMeanRel,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,peakMeanRel,Output of arithmetic mean of peaks (local maxima) / arithmetic mean of all values (mean of peaks to signal mean ratio ~ peakMeanMeanRatio),['sma'],['Smoothing']
audspec_lengthL1norm_sma_minRangeRel,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,minRangeRel,Output of local minima range (max minimum value - min minimum value) / arithmetic mean,['sma'],['Smoothing']
audspec_lengthL1norm_sma_meanRisingSlope,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,meanRisingSlope,Output of the mean of the rising slopes (rising slope is the slope of the line connecting a local minimum (or the beginning of input sample) with the following local maximum/peak or the end of input sample),['sma'],['Smoothing']
audspec_lengthL1norm_sma_stddevRisingSlope,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,stddevRisingSlope,Output of the standard deviation of the rising slopes,['sma'],['Smoothing']
audspec_lengthL1norm_sma_meanFallingSlope,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,meanFallingSlope,Output of the mean of the falling slopes (falling slope is the slope of the line connecting a local maximum/peak (or the beginning of input sample) with the following local minimum (or the end of input sample)),['sma'],['Smoothing']
audspec_lengthL1norm_sma_stddevFallingSlope,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,stddevFallingSlope,Output of the standard deviation of the falling slopes,['sma'],['Smoothing']
audspec_lengthL1norm_sma_linregc1,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,linregc1,Output of slope m (linear regression line),['sma'],['Smoothing']
audspec_lengthL1norm_sma_linregc2,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,linregc2,Output of offset t (linear regression line),['sma'],['Smoothing']
audspec_lengthL1norm_sma_linregerrQ,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,linregerrQ,Output of quadratic error between contour and linear regression line,['sma'],['Smoothing']
audspec_lengthL1norm_sma_qregc1,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,qregc1,Output of quadratic regression coefficient 1 (a),['sma'],['Smoothing']
audspec_lengthL1norm_sma_qregc2,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,qregc2,Output of quadratic regression coefficient 2 (b),['sma'],['Smoothing']
audspec_lengthL1norm_sma_qregc3,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,qregc3,Output of quadratic regression coefficient 3 (c = offset),['sma'],['Smoothing']
audspec_lengthL1norm_sma_qregerrQ,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,qregerrQ,Output of quadratic error between contour and quadratic regression line (parabola),['sma'],['Smoothing']
audspec_lengthL1norm_sma_centroid,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,centroid,Output of centroid of contour (this is computed as a by-product of the regression coefficients).,['sma'],['Smoothing']
audspec_lengthL1norm_sma_de_flatness,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,flatness,Output of contour flatness (ratio of geometric mean and absolute value arithmetic mean(absmean))),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_posamean,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,posamean,Output of arithmetic mean of positive values only (usually you would apply this to a differential signal to measure how much the original signal is rising),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_rqmean,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,rqmean,Output of square root of quadratic mean,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_meanPeakDist,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,meanPeakDist,"Output of mean distance between peaks (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)","['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_peakDistStddev,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,peakDistStddev,Output of standard deviation of inter peak distances,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_peakRangeAbs,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,peakRangeAbs,Output of peak range (max peak value - min peak value),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_peakRangeRel,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,peakRangeRel,Output of peak range (max peak value - min peak value) / arithmetic mean,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_peakMeanAbs,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,peakMeanAbs,Output of arithmetic mean of peaks (local maxima),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_peakMeanMeanDist,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,peakMeanMeanDist,Output of arithmetic mean of peaks - arithmetic mean of all values (mean of peaks to signal mean distance),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_peakMeanRel,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,peakMeanRel,Output of arithmetic mean of peaks (local maxima) / arithmetic mean of all values (mean of peaks to signal mean ratio ~ peakMeanMeanRatio),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_minRangeRel,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,minRangeRel,Output of local minima range (max minimum value - min minimum value) / arithmetic mean,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_meanRisingSlope,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,meanRisingSlope,Output of the mean of the rising slopes (rising slope is the slope of the line connecting a local minimum (or the beginning of input sample) with the following local maximum/peak or the end of input sample),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_stddevRisingSlope,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,stddevRisingSlope,Output of the standard deviation of the rising slopes,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_meanFallingSlope,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,meanFallingSlope,Output of the mean of the falling slopes (falling slope is the slope of the line connecting a local maximum/peak (or the beginning of input sample) with the following local minimum (or the end of input sample)),"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspec_lengthL1norm_sma_de_stddevFallingSlope,audspec_lengthL1norm_sma,Prosodic,Sum of auditory spectrum (loudness).,stddevFallingSlope,Output of the standard deviation of the falling slopes,"['sma', 'de']","['Smoothing', 'Delta Coefficient']"
audspecRasta_lengthL1norm_sma_range,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,range,Output of range (max-min),['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_maxPos,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,maxPos,"Output of position of maximum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_minPos,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,minPos,"Output of position of minimum value (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_quartile1,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,quartile1,Output of quartile1 (0.25),['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_quartile2,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,quartile2,Output of quartile2 (0.50),['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_quartile3,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,quartile3,Output of quartile3 (0.75),['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_iqr1-2,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,iqr1-2,Output of inter-quartile range 1-2 (quartile2-quartile1),['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_iqr2-3,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,iqr2-3,Output of inter-quartile range 2-3 (quartile3-quartile2),['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_iqr1-3,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,iqr1-3,Output of inter-quartile range 1-3 (quartile3-quartile1),['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_percentile1.0,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,percentile1.0,"Output of first percentile, duplicate entries are not checked for and not removed",['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_percentile99.0,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,percentile99.0,"Output of ninety-ninth percentile, duplicate entries are not checked for and not removed",['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_pctlrange0-1,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,pctlrange0-1,Output of inter percentile range from 0-1,['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_stddev,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,stddev,Output of standard deviation,['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_skewness,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,skewness,Output of skewness,['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_kurtosis,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,kurtosis,Output of kurtosis,['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_meanSegLen,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,meanSegLen,"Output of the mean segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_maxSegLen,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,maxSegLen,"Output of the maximum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_minSegLen,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,minSegLen,"Output of the minimum segment length (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_segLenStddev,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,segLenStddev,"Output of the standard deviation of the segment lengths (relative to the input segment length, in seconds, or in frames, see the 'norm' option or the 'masterTimeNorm' option of the cFunctionals parent component)",['sma'],['Smoothing']
audspecRasta_lengthL1norm_sma_upleveltime25,audspecRasta_lengthL1norm_sma,Prosodic,Sum of RASTA-style filtered auditory spectrum.,upleveltime25,Compute time where signal is above 0.25*range,['sma'],['Smoothing']
