feature,lld_base,lld_category,lld_description,functional,functional_description,processing,processing_description
loudness_sma3_amean,loudness,Energy/Amplitude,"Estimate of perceived loudness (in sones) derived from the auditory spectrum using a model of the human auditory system. Reflects psychoacoustic intensity per frame rather than raw signal energy.",amean,Arithmetic mean of the LLD time series over the segment.,sma3,3-point Hanning-window simple moving average applied to all frames.
loudness_sma3_stddevNorm,loudness,Energy/Amplitude,"Estimate of perceived loudness (in sones) derived from the auditory spectrum using a model of the human auditory system. Reflects psychoacoustic intensity per frame rather than raw signal energy.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3,3-point Hanning-window simple moving average applied to all frames.
loudness_sma3_percentile20.0,loudness,Energy/Amplitude,"Estimate of perceived loudness (in sones) derived from the auditory spectrum using a model of the human auditory system. Reflects psychoacoustic intensity per frame rather than raw signal energy.",percentile20.0,20th percentile of the LLD time series over the segment.,sma3,3-point Hanning-window simple moving average applied to all frames.
loudness_sma3_percentile50.0,loudness,Energy/Amplitude,"Estimate of perceived loudness (in sones) derived from the auditory spectrum using a model of the human auditory system. Reflects psychoacoustic intensity per frame rather than raw signal energy.",percentile50.0,50th percentile (median) of the LLD time series over the segment.,sma3,3-point Hanning-window simple moving average applied to all frames.
loudness_sma3_percentile80.0,loudness,Energy/Amplitude,"Estimate of perceived loudness (in sones) derived from the auditory spectrum using a model of the human auditory system. Reflects psychoacoustic intensity per frame rather than raw signal energy.",percentile80.0,80th percentile of the LLD time series over the segment.,sma3,3-point Hanning-window simple moving average applied to all frames.
loudness_sma3_pctlrange0-2,loudness,Energy/Amplitude,"Estimate of perceived loudness (in sones) derived from the auditory spectrum using a model of the human auditory system. Reflects psychoacoustic intensity per frame rather than raw signal energy.",pctlrange0-2,"Inter-percentile range from the 20th to the 80th percentile (percentile80 − percentile20); represents the spread of the middle 60% of the distribution. Index notation 0-2 refers to positions in the percentile set {20, 50, 80}.",sma3,3-point Hanning-window simple moving average applied to all frames.
loudness_sma3_meanRisingSlope,loudness,Energy/Amplitude,"Estimate of perceived loudness (in sones) derived from the auditory spectrum using a model of the human auditory system. Reflects psychoacoustic intensity per frame rather than raw signal energy.",meanRisingSlope,Mean slope of rising contour segments of the LLD time series; reflects the average rate of loudness increase.,sma3,3-point Hanning-window simple moving average applied to all frames.
loudness_sma3_stddevRisingSlope,loudness,Energy/Amplitude,"Estimate of perceived loudness (in sones) derived from the auditory spectrum using a model of the human auditory system. Reflects psychoacoustic intensity per frame rather than raw signal energy.",stddevRisingSlope,Standard deviation of the slopes of rising contour segments; reflects variability in the rate of loudness increase.,sma3,3-point Hanning-window simple moving average applied to all frames.
loudness_sma3_meanFallingSlope,loudness,Energy/Amplitude,"Estimate of perceived loudness (in sones) derived from the auditory spectrum using a model of the human auditory system. Reflects psychoacoustic intensity per frame rather than raw signal energy.",meanFallingSlope,Mean slope of falling contour segments of the LLD time series; reflects the average rate of loudness decrease.,sma3,3-point Hanning-window simple moving average applied to all frames.
loudness_sma3_stddevFallingSlope,loudness,Energy/Amplitude,"Estimate of perceived loudness (in sones) derived from the auditory spectrum using a model of the human auditory system. Reflects psychoacoustic intensity per frame rather than raw signal energy.",stddevFallingSlope,Standard deviation of the slopes of falling contour segments; reflects variability in the rate of loudness decrease.,sma3,3-point Hanning-window simple moving average applied to all frames.
spectralFlux_sma3_amean,spectralFlux,Spectral,"Rate of change of the spectral magnitude envelope between successive frames, computed as the squared L2-norm of the frame-to-frame spectral difference normalized by the number of spectral bins. Computed over all frames (voiced and unvoiced).",amean,Arithmetic mean of the LLD time series over the segment.,sma3,3-point Hanning-window simple moving average applied to all frames.
spectralFlux_sma3_stddevNorm,spectralFlux,Spectral,"Rate of change of the spectral magnitude envelope between successive frames, computed as the squared L2-norm of the frame-to-frame spectral difference normalized by the number of spectral bins. Computed over all frames (voiced and unvoiced).",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3,3-point Hanning-window simple moving average applied to all frames.
mfcc1_sma3_amean,mfcc1,Spectral,"First Mel-Frequency Cepstral Coefficient (MFCC 1), representing the dominant shape of the spectral envelope projected onto a mel-frequency scale. Computed over all frames.",amean,Arithmetic mean of the LLD time series over the segment.,sma3,3-point Hanning-window simple moving average applied to all frames.
mfcc1_sma3_stddevNorm,mfcc1,Spectral,"First Mel-Frequency Cepstral Coefficient (MFCC 1), representing the dominant shape of the spectral envelope projected onto a mel-frequency scale. Computed over all frames.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3,3-point Hanning-window simple moving average applied to all frames.
mfcc2_sma3_amean,mfcc2,Spectral,"Second Mel-Frequency Cepstral Coefficient (MFCC 2), representing the second-most dominant component of the spectral envelope shape on a mel-frequency scale. Computed over all frames.",amean,Arithmetic mean of the LLD time series over the segment.,sma3,3-point Hanning-window simple moving average applied to all frames.
mfcc2_sma3_stddevNorm,mfcc2,Spectral,"Second Mel-Frequency Cepstral Coefficient (MFCC 2), representing the second-most dominant component of the spectral envelope shape on a mel-frequency scale. Computed over all frames.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3,3-point Hanning-window simple moving average applied to all frames.
mfcc3_sma3_amean,mfcc3,Spectral,"Third Mel-Frequency Cepstral Coefficient (MFCC 3), capturing additional variation in the spectral envelope shape on a mel-frequency scale. Computed over all frames.",amean,Arithmetic mean of the LLD time series over the segment.,sma3,3-point Hanning-window simple moving average applied to all frames.
mfcc3_sma3_stddevNorm,mfcc3,Spectral,"Third Mel-Frequency Cepstral Coefficient (MFCC 3), capturing additional variation in the spectral envelope shape on a mel-frequency scale. Computed over all frames.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3,3-point Hanning-window simple moving average applied to all frames.
mfcc4_sma3_amean,mfcc4,Spectral,"Fourth Mel-Frequency Cepstral Coefficient (MFCC 4), capturing higher-order spectral envelope variation on a mel-frequency scale. Computed over all frames.",amean,Arithmetic mean of the LLD time series over the segment.,sma3,3-point Hanning-window simple moving average applied to all frames.
mfcc4_sma3_stddevNorm,mfcc4,Spectral,"Fourth Mel-Frequency Cepstral Coefficient (MFCC 4), capturing higher-order spectral envelope variation on a mel-frequency scale. Computed over all frames.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3,3-point Hanning-window simple moving average applied to all frames.
jitterLocal_sma3nz_amean,jitterLocal,Frequency,"Local jitter — the average absolute cycle-to-cycle difference in fundamental period normalized by the mean period. Quantifies short-term irregularity in vocal fold vibration frequency; higher values indicate greater pitch instability or roughness. Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
jitterLocal_sma3nz_stddevNorm,jitterLocal,Frequency,"Local jitter — the average absolute cycle-to-cycle difference in fundamental period normalized by the mean period. Quantifies short-term irregularity in vocal fold vibration frequency; higher values indicate greater pitch instability or roughness. Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
shimmerLocaldB_sma3nz_amean,shimmerLocaldB,Energy/Amplitude,"Local shimmer in dB — the average absolute logarithmic difference in amplitude between consecutive glottal cycles. Quantifies short-term irregularity in vocal fold vibration amplitude; higher values indicate greater amplitude perturbation or roughness. Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
shimmerLocaldB_sma3nz_stddevNorm,shimmerLocaldB,Energy/Amplitude,"Local shimmer in dB — the average absolute logarithmic difference in amplitude between consecutive glottal cycles. Quantifies short-term irregularity in vocal fold vibration amplitude; higher values indicate greater amplitude perturbation or roughness. Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
HNRdBACF_sma3nz_amean,HNRdBACF,Energy/Amplitude,"Harmonics-to-Noise Ratio computed via the autocorrelation function (ACF) in dB. Quantifies the ratio of periodic (harmonic) energy to aperiodic (noise) energy; lower values indicate breathier or more disordered voicing. Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
HNRdBACF_sma3nz_stddevNorm,HNRdBACF,Energy/Amplitude,"Harmonics-to-Noise Ratio computed via the autocorrelation function (ACF) in dB. Quantifies the ratio of periodic (harmonic) energy to aperiodic (noise) energy; lower values indicate breathier or more disordered voicing. Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2,Frequency,"Logarithmic ratio of the amplitude of the first harmonic (H1 at F0) to the second harmonic (H2 at 2×F0), corrected for the influence of the nearest formant. Measures spectral tilt of the glottal source signal and is associated with phonation type (breathy vs. pressed voice). Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-H2,Frequency,"Logarithmic ratio of the amplitude of the first harmonic (H1 at F0) to the second harmonic (H2 at 2×F0), corrected for the influence of the nearest formant. Measures spectral tilt of the glottal source signal and is associated with phonation type (breathy vs. pressed voice). Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3,Frequency,"Logarithmic ratio of the amplitude of the first harmonic (H1 at F0) to the amplitude at the peak of the third formant region (A3), corrected for formant effects. Related to the open quotient of glottal vibration and overall voice quality (breathy vs. strained). Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
logRelF0-H1-A3_sma3nz_stddevNorm,logRelF0-H1-A3,Frequency,"Logarithmic ratio of the amplitude of the first harmonic (H1 at F0) to the amplitude at the peak of the third formant region (A3), corrected for formant effects. Related to the open quotient of glottal vibration and overall voice quality (breathy vs. strained). Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F1frequency_sma3nz_amean,F1frequency,Frequency,"Center frequency (in Hz) of the first vocal-tract formant resonance (F1), estimated via linear predictive coding (LPC). Primarily determined by vowel height (degree of jaw opening and tongue body height). Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F1frequency_sma3nz_stddevNorm,F1frequency,Frequency,"Center frequency (in Hz) of the first vocal-tract formant resonance (F1), estimated via linear predictive coding (LPC). Primarily determined by vowel height (degree of jaw opening and tongue body height). Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F1bandwidth_sma3nz_amean,F1bandwidth,Frequency,"3-dB bandwidth (in Hz) of the first formant resonance, estimated via LPC. Reflects damping and energy losses within the vocal tract at the first resonance frequency. Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F1bandwidth_sma3nz_stddevNorm,F1bandwidth,Frequency,"3-dB bandwidth (in Hz) of the first formant resonance, estimated via LPC. Reflects damping and energy losses within the vocal tract at the first resonance frequency. Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0,Energy/Amplitude,"Logarithmic amplitude difference between the first formant spectral peak and the amplitude at the fundamental frequency (F0). Reflects the strength of the first formant resonance relative to the glottal source; related to vocal tract filtering at F1. Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F1amplitudeLogRelF0_sma3nz_stddevNorm,F1amplitudeLogRelF0,Energy/Amplitude,"Logarithmic amplitude difference between the first formant spectral peak and the amplitude at the fundamental frequency (F0). Reflects the strength of the first formant resonance relative to the glottal source; related to vocal tract filtering at F1. Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F2frequency_sma3nz_amean,F2frequency,Frequency,"Center frequency (in Hz) of the second vocal-tract formant resonance (F2), estimated via LPC. Primarily determined by tongue frontness/backness position and is a key cue for vowel identity. Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F2frequency_sma3nz_stddevNorm,F2frequency,Frequency,"Center frequency (in Hz) of the second vocal-tract formant resonance (F2), estimated via LPC. Primarily determined by tongue frontness/backness position and is a key cue for vowel identity. Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F2bandwidth_sma3nz_amean,F2bandwidth,Frequency,"3-dB bandwidth (in Hz) of the second formant resonance, estimated via LPC. Added in eGeMAPSv02; not present in the original GeMAPS feature set. Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F2bandwidth_sma3nz_stddevNorm,F2bandwidth,Frequency,"3-dB bandwidth (in Hz) of the second formant resonance, estimated via LPC. Added in eGeMAPSv02; not present in the original GeMAPS feature set. Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0,Energy/Amplitude,"Logarithmic amplitude difference between the second formant spectral peak and the amplitude at the fundamental frequency (F0). Reflects the strength of the second formant resonance relative to the glottal source. Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F2amplitudeLogRelF0_sma3nz_stddevNorm,F2amplitudeLogRelF0,Energy/Amplitude,"Logarithmic amplitude difference between the second formant spectral peak and the amplitude at the fundamental frequency (F0). Reflects the strength of the second formant resonance relative to the glottal source. Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F3frequency_sma3nz_amean,F3frequency,Frequency,"Center frequency (in Hz) of the third vocal-tract formant resonance (F3), estimated via LPC. Related to lip rounding and higher-order vocal tract shape factors; varies less across vowels than F1 or F2. Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F3frequency_sma3nz_stddevNorm,F3frequency,Frequency,"Center frequency (in Hz) of the third vocal-tract formant resonance (F3), estimated via LPC. Related to lip rounding and higher-order vocal tract shape factors; varies less across vowels than F1 or F2. Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F3bandwidth_sma3nz_amean,F3bandwidth,Frequency,"3-dB bandwidth (in Hz) of the third formant resonance, estimated via LPC. Added in eGeMAPSv02; not present in the original GeMAPS feature set. Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F3bandwidth_sma3nz_stddevNorm,F3bandwidth,Frequency,"3-dB bandwidth (in Hz) of the third formant resonance, estimated via LPC. Added in eGeMAPSv02; not present in the original GeMAPS feature set. Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0,Energy/Amplitude,"Logarithmic amplitude difference between the third formant spectral peak and the amplitude at the fundamental frequency (F0). Reflects the strength of the third formant resonance relative to the glottal source. Computed on voiced frames only.",amean,Arithmetic mean of the LLD time series over the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
F3amplitudeLogRelF0_sma3nz_stddevNorm,F3amplitudeLogRelF0,Energy/Amplitude,"Logarithmic amplitude difference between the third formant spectral peak and the amplitude at the fundamental frequency (F0). Reflects the strength of the third formant resonance relative to the glottal source. Computed on voiced frames only.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
alphaRatioV_sma3nz_amean,alphaRatio,Spectral,"Alpha ratio computed on voiced frames — logarithmic ratio of the summed energy in the 50–1000 Hz band to the summed energy in the 1000–5000 Hz band, restricted to frames where F0 > 0. Related to vocal effort and breathiness during phonation.",amean,Arithmetic mean of the LLD time series over voiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
alphaRatioV_sma3nz_stddevNorm,alphaRatio,Spectral,"Alpha ratio computed on voiced frames — logarithmic ratio of the summed energy in the 50–1000 Hz band to the summed energy in the 1000–5000 Hz band, restricted to frames where F0 > 0. Related to vocal effort and breathiness during phonation.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
hammarbergIndexV_sma3nz_amean,hammarbergIndex,Spectral,"Hammarberg index computed on voiced frames — logarithmic ratio of the maximum spectral energy peak in the 0–2000 Hz region to the maximum energy peak in the 2000–5000 Hz region, restricted to frames where F0 > 0. Related to voice quality and the balance of lower-to-higher spectral energy during phonation.",amean,Arithmetic mean of the LLD time series over voiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndex,Spectral,"Hammarberg index computed on voiced frames — logarithmic ratio of the maximum spectral energy peak in the 0–2000 Hz region to the maximum energy peak in the 2000–5000 Hz region, restricted to frames where F0 > 0. Related to voice quality and the balance of lower-to-higher spectral energy during phonation.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
slopeV0-500_sma3nz_amean,slope0-500,Spectral,"Spectral slope from 0 to 500 Hz computed on voiced frames — linear regression slope of the spectral magnitude across the 0–500 Hz band. Reflects low-frequency spectral tilt during phonation.",amean,Arithmetic mean of the LLD time series over voiced frames in the segment.,sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
slopeV0-500_sma3nz_stddevNorm,slope0-500,Spectral,"Spectral slope from 0 to 500 Hz computed on voiced frames — linear regression slope of the spectral magnitude across the 0–500 Hz band. Reflects low-frequency spectral tilt during phonation.",stddevNorm,"Standard deviation of the LLD time series normalized by the arithmetic mean (coefficient of variation); describes relative variability.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing."
