feature,lld_base,lld_category,lld_description,processing,processing_description,frame_selection
jitterLocal_sma3nz,jitterLocal,Frequency,"Local jitter — the average absolute cycle-to-cycle difference in fundamental period normalized by the mean period. Quantifies short-term irregularity in vocal fold vibration frequency; higher values indicate greater pitch instability or roughness. Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
shimmerLocaldB_sma3nz,shimmerLocaldB,Energy/Amplitude,"Local shimmer in dB — the average absolute logarithmic difference in amplitude between consecutive glottal cycles. Quantifies short-term irregularity in vocal fold vibration amplitude; higher values indicate greater amplitude perturbation or roughness. Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
HNRdBACF_sma3nz,HNRdBACF,Energy/Amplitude,"Harmonics-to-Noise Ratio computed via the autocorrelation function (ACF) in dB. Quantifies the ratio of periodic (harmonic) energy to aperiodic (noise) energy; lower values indicate breathier or more disordered voicing. Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
logRelF0-H1-H2_sma3nz,logRelF0-H1-H2,Frequency,"Logarithmic ratio of the amplitude of the first harmonic (H1 at F0) to the second harmonic (H2 at 2×F0), corrected for the influence of the nearest formant. Measures spectral tilt of the glottal source signal; associated with phonation type (breathy vs. pressed voice). Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
logRelF0-H1-A3_sma3nz,logRelF0-H1-A3,Frequency,"Logarithmic ratio of the amplitude of the first harmonic (H1 at F0) to the amplitude at the peak of the third formant region (A3), corrected for formant effects. Related to the open quotient of glottal vibration and overall voice quality (breathy vs. strained). Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
F1frequency_sma3nz,F1frequency,Frequency,"Center frequency (in Hz) of the first vocal-tract formant resonance (F1), estimated via linear predictive coding (LPC). Primarily determined by vowel height (degree of jaw opening and tongue body height). Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
F1bandwidth_sma3nz,F1bandwidth,Frequency,"3-dB bandwidth (in Hz) of the first formant resonance, estimated via LPC. Reflects damping and energy losses within the vocal tract at the first resonance frequency. Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
F1amplitudeLogRelF0_sma3nz,F1amplitudeLogRelF0,Energy/Amplitude,"Logarithmic amplitude difference between the first formant spectral peak and the amplitude at the fundamental frequency (F0). Reflects the strength of the first formant resonance relative to the glottal source signal. Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
F2frequency_sma3nz,F2frequency,Frequency,"Center frequency (in Hz) of the second vocal-tract formant resonance (F2), estimated via LPC. Primarily determined by tongue frontness/backness position and is a key cue for vowel identity. Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
F2bandwidth_sma3nz,F2bandwidth,Frequency,"3-dB bandwidth (in Hz) of the second formant resonance, estimated via LPC. Added in eGeMAPSv02; not present in the original GeMAPS feature set. Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
F2amplitudeLogRelF0_sma3nz,F2amplitudeLogRelF0,Energy/Amplitude,"Logarithmic amplitude difference between the second formant spectral peak and the amplitude at the fundamental frequency (F0). Reflects the strength of the second formant resonance relative to the glottal source signal. Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
F3frequency_sma3nz,F3frequency,Frequency,"Center frequency (in Hz) of the third vocal-tract formant resonance (F3), estimated via LPC. Related to lip rounding and higher-order vocal tract resonance patterns; varies less across vowels than F1 or F2. Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
F3bandwidth_sma3nz,F3bandwidth,Frequency,"3-dB bandwidth (in Hz) of the third formant resonance, estimated via LPC. Added in eGeMAPSv02; not present in the original GeMAPS feature set. Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
F3amplitudeLogRelF0_sma3nz,F3amplitudeLogRelF0,Energy/Amplitude,"Logarithmic amplitude difference between the third formant spectral peak and the amplitude at the fundamental frequency (F0). Reflects the strength of the third formant resonance relative to the glottal source signal. Computed on voiced frames only.",sma3nz,"3-point Hanning-window simple moving average applied only to non-zero (voiced) frames (frames where F0 > 0 Hz); silence and unvoiced frames are excluded from smoothing.",voiced
